,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
42,Lahore,Wheat,1998,28037,1485,439.89,16.27
43,Lahore,Maize,1999,37455,1485,502.86,16.57
44,Lahore,Potatoes,1999,142018,1485,502.86,16.57
45,Lahore,Soybeans,1999,17143,1485,502.86,16.57
46,Lahore,Wheat,1999,24954,1485,502.86,16.57
47,Lahore,Maize,2000,38811,1485,565.82,16.67
48,Lahore,Potatoes,2000,141228,1485,565.82,16.67
49,Lahore,Soybeans,2000,15000,1485,565.82,16.67
50,Lahore,Wheat,2000,30455,1485,565.82,16.67
51,Lahore,Maize,2001,38135,1485,628.79,16.59
52,Lahore,Potatoes,2001,148818,1485,628.79,16.59
53,Lahore,Soybeans,2001,20000,1485,628.79,16.59
54,Lahore,Wheat,2001,28220,1485,628.79,16.59
55,Lahore,Maize,2002,39460,1485,691.75,16.47
56,Lahore,Potatoes,2002,153868,1485,691.75,16.47
57,Lahore,Soybeans,2002,20000,1485,691.75,16.47
58,Lahore,Wheat,2002,31617,1485,691.75,16.47
59,Lahore,Maize,2004,46197,1485,817.68,16.16
60,Lahore,Potatoes,2004,149346,1485,817.68,16.16
61,Lahore,Soybeans,2004,13333,1485,817.68,16.16
62,Lahore,Wheat,2004,31130,1485,817.68,16.16
63,Lahore,Maize,2005,45442,1485,880.64,15.67
64,Lahore,Potatoes,2005,167061,1485,880.64,15.67
65,Lahore,Soybeans,2005,17500,1485,880.64,15.67
66,Lahore,Wheat,2005,31582,1485,880.64,15.67
67,Lahore,Maize,2006,50111,1485,943.61,15.92
68,Lahore,Potatoes,2006,170745,1485,943.61,15.92
69,Lahore,Soybeans,2006,20000,1485,943.61,15.92
70,Lahore,Wheat,2006,30787,1485,943.61,15.92
71,Lahore,Maize,2007,46732,1485,1006.57,16.67
72,Lahore,Potatoes,2007,188902,1485,1006.57,16.67
73,Lahore,Soybeans,2007,20000,1485,1006.57,16.67
74,Lahore,Wheat,2007,35496,1485,1006.57,16.67
75,Lahore,Maize,2008,50000,1485,1069.54,16.71
76,Lahore,Potatoes,2008,193878,1485,1069.54,16.71
77,Lahore,Soybeans,2008,20000,1485,1069.54,16.71
78,Lahore,Wheat,2008,40168,1485,1069.54,16.71
79,Lahore,Maize,2009,55693,1485,1132.5,16.73
80,Lahore,Potatoes,2009,219780,1485,1132.5,16.73
81,Lahore,Soybeans,2009,16667,1485,1132.5,16.73
82,Lahore,Wheat,2009,40229,1485,1132.5,16.73
83,Lahore,Maize,2010,66790,1485,1311.17,16.52
84,Lahore,Potatoes,2010,231111,1485,1311.17,16.52
85,Lahore,Soybeans,2010,16667,1485,1311.17,16.52
86,Lahore,Wheat,2010,39905,1485,1311.17,16.52
87,Lahore,Maize,2011,59869,1485,1302.63,16.45
88,Lahore,Potatoes,2011,242211,1485,1302.63,16.45
89,Lahore,Soybeans,2011,18519,1485,1302.63,16.45
90,Lahore,Wheat,2011,42301,1485,1302.63,16.45
91,Lahore,Maize,2012,67290,1485,766.25,16.7
92,Lahore,Potatoes,2012,250538,1485,766.25,16.7
93,Lahore,Soybeans,2012,13333,1485,766.25,16.7
94,Lahore,Wheat,2012,41096,1485,766.25,16.7
95,Lahore,Maize,2013,69533,1485,982.32,17.41
96,Lahore,Potatoes,2013,260110,1485,982.32,17.41
97,Lahore,Soybeans,2013,10000,1485,982.32,17.41
98,Lahore,Wheat,2013,41292,1485,982.32,17.41
99,Lahore,Maize,1990,16500,89,1828.92,17.48
100,Lahore,Potatoes,1990,78936,89,1828.92,17.48
101,Lahore,"Rice, paddy",1990,28000,89,1828.92,17.48
102,Lahore,Sorghum,1990,16571,89,1828.92,17.48
103,Lahore,Wheat,1990,6315,89,1828.92,17.48
104,Lahore,Maize,1991,19231,89,2461.8,16.26
105,Lahore,Potatoes,1991,90747,89,2461.8,16.26
106,Lahore,"Rice, paddy",1991,26786,89,2461.8,16.26
107,Lahore,Sorghum,1991,24231,89,2461.8,16.26
108,Lahore,Wheat,1991,10809,89,2461.8,16.26
109,Lahore,Maize,1992,22828,89,1215.47,16.27
110,Lahore,Potatoes,1992,107917,89,1215.47,16.27
111,Lahore,"Rice, paddy",1992,24733,89,1215.47,16.27
112,Lahore,Sorghum,1992,40000,89,1215.47,16.27
113,Lahore,Wheat,1992,9939,89,1215.47,16.27
114,Lahore,Maize,1993,12500,89,1021.89,17
115,Lahore,Potatoes,1993,111215,89,1021.89,17
116,Lahore,"Rice, paddy",1993,23111,89,1021.89,17
117,Lahore,Sorghum,1993,50000,89,1021.89,17
118,Lahore,Wheat,1993,8097,89,1021.89,17
119,Lahore,Maize,1994,4512,89,1255.02,17.88
120,Lahore,Potatoes,1994,95078,89,1255.02,17.88
121,Lahore,"Rice, paddy",1994,21374,89,1255.02,17.88
122,Lahore,Wheat,1994,7999,89,1255.02,17.88
123,Lahore,Maize,1995,16115,89,2697.09,17.36
124,Lahore,Potatoes,1995,136768,89,2697.09,17.36
125,Lahore,"Rice, paddy",1995,19598,89,2697.09,17.36
126,Lahore,Sorghum,1995,12667,89,2697.09,17.36
127,Lahore,Wheat,1995,8924,89,2697.09,17.36
128,Lahore,Maize,1996,17154,89,479.77,16.76
129,Lahore,Potatoes,1996,134629,89,479.77,16.76
130,Lahore,"Rice, paddy",1996,17861,89,479.77,16.76
131,Lahore,Sorghum,1996,14750,89,479.77,16.76
132,Lahore,Wheat,1996,13090,89,479.77,16.76
133,Lahore,Maize,1997,21417,89,401.22,17.84
134,Lahore,Potatoes,1997,141042,89,401.22,17.84
135,Lahore,"Rice, paddy",1997,15000,89,401.22,17.84
136,Lahore,Sorghum,1997,40000,89,401.22,17.84
137,Lahore,Wheat,1997,8016,89,401.22,17.84
138,Lahore,Maize,1998,17222,89,322.84,17.14
139,Lahore,Potatoes,1998,160256,89,322.84,17.14
140,Lahore,"Rice, paddy",1998,15000,89,322.84,17.14
141,Lahore,Sorghum,1998,24500,89,322.84,17.14
142,Lahore,Wheat,1998,8847,89,322.84,17.14
143,Lahore,Maize,1999,22375,89,654.45,17.97
144,Lahore,Potatoes,1999,153532,89,654.45,17.97
145,Lahore,"Rice, paddy",1999,13942,89,654.45,17.97
146,Lahore,Sorghum,1999,27000,89,654.45,17.97
147,Lahore,Wheat,1999,10711,89,654.45,17.97
148,Lahore,Maize,2000,36186,89,603.67,17.9
149,Lahore,Potatoes,2000,166143,89,603.67,17.9
150,Lahore,"Rice, paddy",2000,13052,89,603.67,17.9
151,Lahore,Sorghum,2000,69500,89,603.67,17.9
152,Lahore,Wheat,2000,9194,89,603.67,17.9
153,Lahore,Maize,2001,27175,89,710.11,18.13
154,Lahore,Potatoes,2001,147018,89,710.11,18.13
155,Lahore,"Rice, paddy",2001,12314,89,710.11,18.13
156,Lahore,Sorghum,2001,27750,89,710.11,18.13
157,Lahore,Wheat,2001,11104,89,710.11,18.13
158,Lahore,Maize,2002,33480,89,816.55,17.85
159,Lahore,Potatoes,2002,183774,89,816.55,17.85
160,Lahore,"Rice, paddy",2002,12959,89,816.55,17.85
161,Lahore,Sorghum,2002,33900,89,816.55,17.85
162,Lahore,Wheat,2002,10739,89,816.55,17.85
163,Lahore,Maize,2004,31729,89,3747.86,17.38
164,Lahore,Potatoes,2004,203585,89,3747.86,17.38
165,Lahore,"Rice, paddy",2004,12829,89,3747.86,17.38
166,Lahore,Sorghum,2004,43316,89,3747.86,17.38
167,Lahore,Wheat,2004,13582,89,3747.86,17.38
168,Lahore,Maize,2005,33864,89,3662.87,17.19
169,Lahore,Potatoes,2005,216267,89,3662.87,17.19
170,Lahore,"Rice, paddy",2005,12998,89,3662.87,17.19
171,Lahore,Sorghum,2005,33486,89,3662.87,17.19
172,Lahore,Wheat,2005,15057,89,3662.87,17.19
173,Lahore,Maize,2006,65668,89,4110.72,18.13
174,Lahore,Potatoes,2006,220689,89,4110.72,18.13
175,Lahore,"Rice, paddy",2006,12769,89,4110.72,18.13
176,Lahore,Sorghum,2006,56728,89,4110.72,18.13
177,Lahore,Wheat,2006,15068,89,4110.72,18.13
178,Lahore,Maize,2007,85625,89,5390.79,17.42
179,Lahore,Potatoes,2007,189927,89,5390.79,17.42
180,Lahore,"Rice, paddy",2007,13375,89,5390.79,17.42
181,Lahore,Sorghum,2007,119059,89,5390.79,17.42
182,Lahore,Wheat,2007,12742,89,5390.79,17.42
183,Lahore,Maize,2008,44714,89,11556.12,17.55
184,Lahore,Potatoes,2008,236393,89,11556.12,17.55
185,Lahore,"Rice, paddy",2008,13952,89,11556.12,17.55
186,Lahore,Sorghum,2008,61786,89,11556.12,17.55
187,Lahore,Wheat,2008,11038,89,11556.12,17.55
188,Lahore,Maize,2009,30914,89,3867.99,17.78
189,Lahore,Potatoes,2009,250764,89,3867.99,17.78
190,Lahore,"Rice, paddy",2009,14594,89,3867.99,17.78
191,Lahore,Sorghum,2009,90465,89,3867.99,17.78
192,Lahore,Wheat,2009,15975,89,3867.99,17.78
193,Lahore,Maize,2010,25827,89,1295.88,17.59
194,Lahore,Potatoes,2010,270526,89,1295.88,17.59
195,Lahore,"Rice, paddy",2010,15305,89,1295.88,17.59
196,Lahore,Sorghum,2010,30286,89,1295.88,17.59
197,Lahore,Wheat,2010,14838,89,1295.88,17.59
198,Lahore,Maize,2011,23374,89,13861.76,17.79
199,Lahore,Potatoes,2011,292806,89,13861.76,17.79
200,Lahore,"Rice, paddy",2011,16081,89,13861.76,17.79
201,Lahore,Sorghum,2011,100000,89,13861.76,17.79
202,Lahore,Wheat,2011,17405,89,13861.76,17.79
203,Lahore,Maize,2012,25583,89,17379.76,17.91
204,Lahore,Potatoes,2012,304291,89,17379.76,17.91
205,Lahore,"Rice, paddy",2012,16667,89,17379.76,17.91
206,Lahore,Sorghum,2012,206000,89,17379.76,17.91
207,Lahore,Wheat,2012,17639,89,17379.76,17.91
208,Lahore,Maize,2013,33649,89,17278.65,17.65
209,Lahore,Potatoes,2013,303218,89,17278.65,17.65
210,Lahore,"Rice, paddy",2013,17778,89,17278.65,17.65
211,Lahore,Sorghum,2013,60000,89,17278.65,17.65
212,Lahore,Wheat,2013,19100,89,17278.65,17.65
213,Lahore,Cassava,1990,41177,1010,64,24.12
214,Lahore,Maize,1990,2736,1010,64,24.12
215,Lahore,Potatoes,1990,40000,1010,64,24.12
216,Lahore,"Rice, paddy",1990,9512,1010,64,24.12
217,Lahore,Sweet potatoes,1990,89342,1010,64,24.12
218,Lahore,Wheat,1990,7995,1010,64,24.12
219,Lahore,Cassava,1991,40295,1010,79,24.02
220,Lahore,Maize,1991,4013,1010,79,24.02
221,Lahore,Potatoes,1991,40000,1010,79,24.02
222,Lahore,"Rice, paddy",1991,10000,1010,79,24.02
223,Lahore,Sweet potatoes,1991,83001,1010,79,24.02
224,Lahore,Wheat,1991,8000,1010,79,24.02
225,Lahore,Cassava,1992,42295,1010,23,23.96
226,Lahore,Maize,1992,3778,1010,23,23.96
227,Lahore,Potatoes,1992,40000,1010,23,23.96
228,Lahore,"Rice, paddy",1992,9106,1010,23,23.96
229,Lahore,Sweet potatoes,1992,90000,1010,23,23.96
230,Lahore,Wheat,1992,8000,1010,23,23.96
231,Lahore,Cassava,1993,42295,1010,169,24.15
232,Lahore,Maize,1993,2627,1010,169,24.15
233,Lahore,Potatoes,1993,70000,1010,169,24.15
234,Lahore,"Rice, paddy",1993,8000,1010,169,24.15
235,Lahore,Sweet potatoes,1993,88095,1010,169,24.15
236,Lahore,Wheat,1993,8876,1010,169,24.15
237,Lahore,Cassava,1994,58596,1010,25.5,24.04
238,Lahore,Maize,1994,2463,1010,25.5,24.04
239,Lahore,Potatoes,1994,90000,1010,25.5,24.04
240,Lahore,"Rice, paddy",1994,8750,1010,25.5,24.04
241,Lahore,Sweet potatoes,1994,83192,1010,25.5,24.04
242,Lahore,Wheat,1994,10000,1010,25.5,24.04
243,Lahore,Cassava,1995,51000,1010,336,24.56
244,Lahore,Maize,1995,3517,1010,336,24.56
245,Lahore,Potatoes,1995,76738,1010,336,24.56
246,Lahore,"Rice, paddy",1995,14615,1010,336,24.56
247,Lahore,Sweet potatoes,1995,81138,1010,336,24.56
248,Lahore,Wheat,1995,11855,1010,336,24.56
249,Lahore,Cassava,1996,48077,1010,40,24.11
250,Lahore,Maize,1996,6993,1010,40,24.11
251,Lahore,Potatoes,1996,70000,1010,40,24.11
252,Lahore,"Rice, paddy",1996,17500,1010,40,24.11
253,Lahore,Sweet potatoes,1996,85455,1010,40,24.11
254,Lahore,Wheat,1996,13738,1010,40,24.11
255,Lahore,Cassava,1997,44205,1010,40,24.06
256,Lahore,Maize,1997,5959,1010,40,24.06
257,Lahore,Potatoes,1997,68571,1010,40,24.06
258,Lahore,"Rice, paddy",1997,20000,1010,40,24.06
259,Lahore,Sweet potatoes,1997,78098,1010,40,24.06
260,Lahore,Wheat,1997,15509,1010,40,24.06
261,Lahore,Cassava,1998,55728,1010,40,24.96
262,Lahore,Maize,1998,7396,1010,40,24.96
263,Lahore,Potatoes,1998,62724,1010,40,24.96
264,Lahore,"Rice, paddy",1998,20000,1010,40,24.96
265,Lahore,Sweet potatoes,1998,76256,1010,40,24.96
266,Lahore,Wheat,1998,17143,1010,40,24.96
267,Lahore,Cassava,1999,59821,1010,40,24.37
268,Lahore,Maize,1999,6361,1010,40,24.37
269,Lahore,Potatoes,1999,54597,1010,40,24.37
270,Lahore,"Rice, paddy",1999,14235,1010,40,24.37
271,Kasur,Sweet potatoes,1999,82865,1010,40,24.37
272,Kasur,Wheat,1999,17391,1010,40,24.37
273,Kasur,Cassava,2000,82992,1010,40,24.41
274,Kasur,Maize,2000,5745,1010,40,24.41
275,Kasur,Potatoes,2000,29885,1010,40,24.41
276,Kasur,"Rice, paddy",2000,13454,1010,40,24.41
277,Kasur,Sorghum,2000,3333,1010,40,24.41
278,Kasur,Soybeans,2000,2333,1010,40,24.41
279,Kasur,Sweet potatoes,2000,34938,1010,40,24.41
280,Kasur,Wheat,2000,17023,1010,40,24.41
281,Kasur,Cassava,2001,94072,1010,40,24.43
282,Kasur,Maize,2001,5754,1010,40,24.43
283,Kasur,Potatoes,2001,42552,1010,40,24.43
284,Kasur,"Rice, paddy",2001,13701,1010,40,24.43
285,Kasur,Sorghum,2001,3571,1010,40,24.43
286,Kasur,Soybeans,2001,2500,1010,40,24.43
287,Kasur,Sweet potatoes,2001,44458,1010,40,24.43
288,Kasur,Wheat,2001,16667,1010,40,24.43
289,Kasur,Cassava,2002,110071,1010,40,24.79
290,Kasur,Maize,2002,6706,1010,40,24.79
291,Nankana Sahib,Potatoes,2002,42754,1010,40,24.79
292,Nankana Sahib,"Rice, paddy",2002,13198,1010,40,24.79
293,Nankana Sahib,Sorghum,2002,3400,1010,40,24.79
294,Nankana Sahib,Soybeans,2002,2857,1010,40,24.79
295,Nankana Sahib,Sweet potatoes,2002,42190,1010,40,24.79
296,Nankana Sahib,Wheat,2002,15455,1010,40,24.79
297,Nankana Sahib,Cassava,2004,125605,1010,40,24.22
298,Nankana Sahib,Maize,2004,5404,1010,40,24.22
299,Nankana Sahib,Potatoes,2004,20150,1010,40,24.22
300,Nankana Sahib,"Rice, paddy",2004,11584,1010,40,24.22
301,Nankana Sahib,Sorghum,2004,3333,1010,40,24.22
302,Nankana Sahib,Soybeans,2004,3600,1010,40,24.22
303,Nankana Sahib,Sweet potatoes,2004,45360,1010,40,24.22
304,Nankana Sahib,Wheat,2004,12442,1010,40,24.22
305,Nankana Sahib,Cassava,2005,117628,1010,40,24.41
306,Nankana Sahib,Maize,2005,6736,1010,40,24.41
307,Nankana Sahib,Potatoes,2005,23646,1010,40,24.41
308,Nankana Sahib,"Rice, paddy",2005,6977,1010,40,24.41
309,Nankana Sahib,Sorghum,2005,3333,1010,40,24.41
310,Nankana Sahib,Soybeans,2005,3793,1010,40,24.41
311,Sheikhupura,Sweet potatoes,2005,46159,1010,40,24.41
312,Sheikhupura,Wheat,2005,10946,1010,40,24.41
313,Sheikhupura,Cassava,2006,117201,1010,40,24.14
314,Sheikhupura,Maize,2006,4687,1010,40,24.14
315,Sheikhupura,Potatoes,2006,52148,1010,40,24.14
316,Sheikhupura,"Rice, paddy",2006,4947,1010,40,24.14
317,Sheikhupura,Sorghum,2006,4091,1010,40,24.14
318,Sheikhupura,Soybeans,2006,4286,1010,40,24.14
319,Sheikhupura,Sweet potatoes,2006,44240,1010,40,24.14
320,Sheikhupura,Wheat,2006,10000,1010,40,24.14
321,Sheikhupura,Cassava,2007,115387,1010,40,24.24
322,Sheikhupura,Maize,2007,5091,1010,40,24.24
323,Sheikhupura,Potatoes,2007,62138,1010,40,24.24
324,Sheikhupura,"Rice, paddy",2007,5143,1010,40,24.24
325,Sheikhupura,Sorghum,2007,4031,1010,40,24.24
326,Sheikhupura,Soybeans,2007,6883,1010,40,24.24
327,Sheikhupura,Sweet potatoes,2007,58855,1010,40,24.24
328,Sheikhupura,Wheat,2007,10000,1010,40,24.24
329,Sheikhupura,Cassava,2008,148084,1010,40,24.27
330,Sheikhupura,Maize,2008,7946,1010,40,24.27
331,Sahiwal,Potatoes,2008,85085,1010,40,24.27
332,Sahiwal,"Rice, paddy",2008,5084,1010,40,24.27
333,Sahiwal,Sorghum,2008,929,1010,40,24.27
334,Sahiwal,Soybeans,2008,8575,1010,40,24.27
335,Sahiwal,Sweet potatoes,2008,65437,1010,40,24.27
336,Sahiwal,Wheat,2008,10000,1010,40,24.27
337,Sahiwal,Cassava,2009,151759,1010,40,24.33
338,Sahiwal,Maize,2009,6614,1010,40,24.33
339,Sahiwal,Potatoes,2009,86509,1010,40,24.33
340,Sahiwal,"Rice, paddy",2009,6028,1010,40,24.33
341,Sahiwal,Sorghum,2009,2480,1010,40,24.33
342,Sahiwal,Soybeans,2009,4449,1010,40,24.33
343,Sahiwal,Sweet potatoes,2009,66475,1010,40,24.33
344,Sahiwal,Wheat,2009,10000,1010,40,24.33
345,Sahiwal,Cassava,2010,155782,1010,40,24.44
346,Sahiwal,Maize,2010,7200,1010,40,24.44
347,Sahiwal,Potatoes,2010,87425,1010,40,24.44
348,Sahiwal,"Rice, paddy",2010,7403,1010,40,24.44
349,Sahiwal,Sorghum,2010,2814,1010,40,24.44
350,Sahiwal,Soybeans,2010,4446,1010,40,24.44
351,Pakpattan,Sweet potatoes,2010,63001,1010,40,24.44
352,Pakpattan,Wheat,2010,10526,1010,40,24.44
353,Pakpattan,Cassava,2011,133649,1010,40,24.15
354,Pakpattan,Maize,2011,7376,1010,40,24.15
355,Pakpattan,Potatoes,2011,81366,1010,40,24.15
356,Pakpattan,"Rice, paddy",2011,8914,1010,40,24.15
357,Pakpattan,Sorghum,2011,3320,1010,40,24.15
358,Pakpattan,Soybeans,2011,5294,1010,40,24.15
359,Pakpattan,Sweet potatoes,2011,65512,1010,40,24.15
360,Pakpattan,Wheat,2011,10959,1010,40,24.15
361,Pakpattan,Cassava,2012,100073,1010,40,24.24
362,Pakpattan,Maize,2012,7770,1010,40,24.24
363,Pakpattan,Potatoes,2012,69381,1010,40,24.24
364,Pakpattan,"Rice, paddy",2012,7703,1010,40,24.24
365,Pakpattan,Sorghum,2012,998,1010,40,24.24
366,Pakpattan,Soybeans,2012,1641,1010,40,24.24
367,Pakpattan,Sweet potatoes,2012,52954,1010,40,24.24
368,Pakpattan,Wheat,2012,11258,1010,40,24.24
369,Pakpattan,Cassava,2013,140517,1010,40,24.55
370,Pakpattan,Maize,2013,9467,1010,40,24.55
371,Okara,Potatoes,2013,63303,1010,40,24.55
372,Okara,"Rice, paddy",2013,12744,1010,40,24.55
373,Okara,Sorghum,2013,2415,1010,40,24.55
374,Okara,Soybeans,2013,4405,1010,40,24.55
375,Okara,Sweet potatoes,2013,73409,1010,40,24.55
376,Okara,Wheat,2013,9022,1010,40,24.55
377,Okara,Cassava,1990,100000,591,26156,17.46
378,Okara,Cassava,1990,100000,591,26156,17.67
379,Okara,Maize,1990,34608,591,26156,17.46
380,Okara,Maize,1990,34608,591,26156,17.67
381,Okara,Potatoes,1990,202747,591,26156,17.46
382,Okara,Potatoes,1990,202747,591,26156,17.67
383,Okara,"Rice, paddy",1990,36709,591,26156,17.46
384,Okara,"Rice, paddy",1990,36709,591,26156,17.67
385,Okara,Sorghum,1990,28116,591,26156,17.46
386,Okara,Sorghum,1990,28116,591,26156,17.67
387,Okara,Soybeans,1990,21566,591,26156,17.46
388,Okara,Soybeans,1990,21566,591,26156,17.67
389,Okara,Sweet potatoes,1990,131864,591,26156,17.46
390,Okara,Sweet potatoes,1990,131864,591,26156,17.67
391,Multan,Wheat,1990,18947,591,26156,17.46
392,Multan,Wheat,1990,18947,591,26156,17.67
393,Multan,Cassava,1991,100000,591,26156,17.64
394,Multan,Cassava,1991,100000,591,26156,17.86
395,Multan,Maize,1991,40444,591,26156,17.64
396,Multan,Maize,1991,40444,591,26156,17.86
397,Multan,Potatoes,1991,205692,591,26156,17.64
398,Multan,Potatoes,1991,205692,591,26156,17.86
399,Multan,"Rice, paddy",1991,40294,591,26156,17.64
400,Multan,"Rice, paddy",1991,40294,591,26156,17.86
401,Multan,Sorghum,1991,33320,591,26156,17.64
402,Multan,Sorghum,1991,33320,591,26156,17.86
403,Multan,Soybeans,1991,22750,591,26156,17.64
404,Multan,Soybeans,1991,22750,591,26156,17.86
405,Multan,Sweet potatoes,1991,131364,591,26156,17.64
406,Khanewal,Sweet potatoes,1991,131364,591,26156,17.86
407,Khanewal,Wheat,1991,18972,591,26156,17.64
408,Khanewal,Wheat,1991,18972,591,26156,17.86
409,Khanewal,Cassava,1992,100000,591,26156,17.09
410,Khanewal,Cassava,1992,100000,591,26156,17.51
411,Khanewal,Maize,1992,45237,591,26156,17.09
412,Khanewal,Maize,1992,45237,591,26156,17.51
413,Khanewal,Potatoes,1992,199039,591,26156,17.09
414,Khanewal,Potatoes,1992,199039,591,26156,17.51
415,Khanewal,"Rice, paddy",1992,52075,591,26156,17.09
416,Khanewal,"Rice, paddy",1992,52075,591,26156,17.51
417,Khanewal,Sorghum,1992,36217,591,26156,17.09
418,Khanewal,Sorghum,1992,36217,591,26156,17.51
419,Khanewal,Soybeans,1992,22915,591,26156,17.09
420,Khanewal,Soybeans,1992,22915,591,26156,17.51
421,Khanewal,Sweet potatoes,1992,127273,591,26156,17.09
422,Khanewal,Sweet potatoes,1992,127273,591,26156,17.51
423,Khanewal,Wheat,1992,21809,591,26156,17.09
424,Khanewal,Wheat,1992,21809,591,26156,17.51
425,Khanewal,Cassava,1993,100000,591,26156,17.32
426,Khanewal,Cassava,1993,100000,591,26156,17.53
427,Khanewal,Maize,1993,43552,591,26156,17.32
428,Khanewal,Maize,1993,43552,591,26156,17.53
429,Khanewal,Potatoes,1993,210314,591,26156,17.32
430,Vehari,Potatoes,1993,210314,591,26156,17.53
431,Vehari,"Rice, paddy",1993,43559,591,26156,17.32
432,Vehari,"Rice, paddy",1993,43559,591,26156,17.53
433,Vehari,Sorghum,1993,39529,591,26156,17.32
434,Vehari,Sorghum,1993,39529,591,26156,17.53
435,Vehari,Soybeans,1993,21589,591,26156,17.32
436,Vehari,Soybeans,1993,21589,591,26156,17.53
437,Vehari,Sweet potatoes,1993,122955,591,26156,17.32
438,Vehari,Sweet potatoes,1993,122955,591,26156,17.53
439,Vehari,Wheat,1993,23272,591,26156,17.32
440,Vehari,Wheat,1993,23272,591,26156,17.53
441,Vehari,Cassava,1994,100000,591,30195,18.17
442,Vehari,Cassava,1994,100000,591,30195,18.31
443,Vehari,Maize,1994,42371,591,30195,18.17
444,Vehari,Maize,1994,42371,591,30195,18.31
445,Vehari,Potatoes,1994,230166,591,30195,18.17
446,Vehari,Potatoes,1994,230166,591,30195,18.31
447,Vehari,"Rice, paddy",1994,42989,591,30195,18.17
448,Vehari,"Rice, paddy",1994,42989,591,30195,18.31
449,Vehari,Sorghum,1994,35065,591,30195,18.17
450,Vehari,Sorghum,1994,35065,591,30195,18.31
451,Lodhran,Soybeans,1994,20386,591,30195,18.17
452,Lodhran,Soybeans,1994,20386,591,30195,18.31
453,Lodhran,Sweet potatoes,1994,176667,591,30195,18.17
454,Lodhran,Sweet potatoes,1994,176667,591,30195,18.31
455,Lodhran,Wheat,1994,20237,591,30195,18.17
456,Lodhran,Wheat,1994,20237,591,30195,18.31
457,Lodhran,Cassava,1995,100000,591,37842,17.74
458,Lodhran,Cassava,1995,100000,591,37842,17.62
459,Lodhran,Maize,1995,45223,591,37842,17.74
460,Lodhran,Maize,1995,45223,591,37842,17.62
461,Lodhran,Potatoes,1995,274272,591,37842,17.74
462,Lodhran,Potatoes,1995,274272,591,37842,17.62
463,Lodhran,"Rice, paddy",1995,50306,591,37842,17.74
464,Lodhran,"Rice, paddy",1995,50306,591,37842,17.62
465,Lodhran,Sorghum,1995,34588,591,37842,17.74
466,Lodhran,Sorghum,1995,34588,591,37842,17.62
467,Lodhran,Soybeans,1995,20446,591,37842,17.74
468,Lodhran,Soybeans,1995,20446,591,37842,17.62
469,Lodhran,Sweet potatoes,1995,168000,591,37842,17.74
470,Lodhran,Sweet potatoes,1995,168000,591,37842,17.62
471,Faisalabad,Wheat,1995,21675,591,37842,17.74
472,Faisalabad,Wheat,1995,21675,591,37842,17.62
473,Faisalabad,Cassava,1996,100000,591,54595,17.64
474,Faisalabad,Cassava,1996,100000,591,54595,17.97
